playerId,name,season,team,position,games_played,icetime,shifts,gameScore,onIce_corsiPercentage,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,shotsBlockedByPlayer,FiveOnFourPts,FourOnFivePts,YF_Goal,YF_Assist,YF_Shot,YF_Hit,YF_Block,YF_FiveOnFour,YF_FourOnFive,YF_Pts,FiveOnFourIcetime,FourOnFiveIcetime
8471817,Ryan Reaves,2022,MIN,R,73.0,40825.0,889.0,8.58,0.45,5.0,5.0,48.0,21.0,79.0,5.0,5.0,1.0,196.0,15.0,16.0,33.0,29.0,7.0,0.0,4.0,1.0,24.0,0.0,0.0,15.0,20.0,19,78,10,0,0,142.0,98.0,24.0
8480950,Ilya Lyubushkin,2022,BUF,D,68.0,61236.0,1469.0,11.77,0.42,6.0,6.0,41.0,11.0,78.0,2.0,0.0,0.0,99.0,27.0,20.0,50.0,2.0,0.0,1.0,1.0,0.0,104.0,0.0,1.0,6.0,24.0,16,40,42,0,0,128.0,84.0,8020.0
8475625,Matt Irwin,2022,WSH,D,61.0,47720.0,1060.0,8.62,0.45,1.0,2.0,79.0,23.0,140.0,2.0,4.0,0.0,117.0,9.0,18.0,97.0,5.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,6.0,6.0,32,47,30,0,0,121.0,10.0,3312.0
8480860,Kevin Bahl,2022,NJD,D,42.0,35331.0,814.0,13.37,0.53,2.0,4.0,27.0,20.0,79.0,2.0,5.0,0.0,64.0,8.0,12.0,46.0,1.0,0.0,1.0,1.0,0.0,38.0,0.0,0.0,6.0,12.0,11,26,15,0,0,70.0,105.0,2111.0
8477952,Robby Fabbri,2022,DET,C,28.0,26877.0,504.0,6.81,0.46,5.0,4.0,35.0,18.0,65.0,7.0,5.0,1.0,49.0,6.0,12.0,29.0,14.0,10.0,1.0,2.0,4.0,15.0,8.0,0.0,21.0,18.0,14,20,6,3,0,82.0,4393.0,36.0
8478047,Michael Bunting,2022,TOR,L,82.0,77721.0,1586.0,57.1,0.55,19.0,7.0,174.0,79.0,298.0,23.0,31.0,6.0,85.0,49.0,38.0,136.0,78.0,39.0,4.0,8.0,11.0,18.0,9.0,0.0,69.0,52.0,70,34,7,4,0,236.0,8874.0,5.0
8480113,Alex Iafallo,2022,LAK,L,59.0,57702.0,1294.0,41.18,0.51,13.0,9.0,133.0,37.0,218.0,14.0,12.0,3.0,27.0,28.0,9.0,110.0,45.0,15.0,3.0,7.0,4.0,33.0,8.0,0.0,42.0,44.0,53,11,13,3,0,166.0,5620.0,6375.0
8473604,Jonathan Toews,2022,CHI,C,53.0,56320.0,1151.0,20.4,0.49,12.0,4.0,87.0,26.0,138.0,15.0,7.0,2.0,9.0,37.0,42.0,70.0,23.0,20.0,2.0,4.0,9.0,23.0,11.0,0.0,45.0,32.0,35,4,9,4,0,129.0,8435.0,3370.0
8473446,Erik Johnson,2022,COL,D,63.0,65222.0,1504.0,14.75,0.44,5.0,3.0,98.0,28.0,182.0,0.0,9.0,0.0,121.0,16.0,17.0,120.0,6.0,0.0,0.0,0.0,0.0,102.0,0.0,1.0,0.0,16.0,39,48,41,0,0,144.0,67.0,7381.0
8478891,Mason Appleton,2022,WPG,C,41.0,39407.0,872.0,19.11,0.46,6.0,5.0,71.0,22.0,109.0,5.0,5.0,2.0,47.0,12.0,11.0,58.0,29.0,6.0,0.0,2.0,3.0,11.0,1.0,0.0,15.0,22.0,28,19,4,0,0,88.0,326.0,5151.0
